User,Edited Articles,Total Edits,Total Minors
Sonstiges,5,56,18
TobeBot,42,55,55
RibotBOT,39,55,55
HeicoH,32,55,41
Simpsonsfan2,29,55,3
Ulrich.fuchs,24,55,17
Braganza,22,55,1
Stefanwege,17,55,14
W. Edlmeier,14,55,19
Tous4821,13,55,20
Holiday,11,55,4
Perfect Tommy,5,55,7
Catorom,4,55,13
Juergen Koester,1,55,0
MichaelDiederich,37,54,48
Baird's Tapir,33,54,54
S.Didam,30,54,24
LinkFA-Bot,26,54,12
Muns,20,54,30
H7,17,54,33
Nachtwächter90,15,54,11
Gert Lauken,14,54,17
ClaasA,3,54,15
Entlinkt,38,53,51
Nolispanmo,37,53,46
Tommes,33,53,19
Willicher,25,53,31
Cologinux,23,53,24
7Pinguine,19,53,11
80.226.0.1,16,53,0
Schopfheimer,14,53,47
Benqo,12,53,12
Superikonoskop,8,53,24
Turris Davidica,5,53,24
JS8,2,53,6
imported>SecurID,1,53,0
Addbot,52,52,52
Kriddl,37,52,16
Wheeke,32,52,31
Okin,22,52,22
Malcolm77,18,52,39
Pappenheim,14,52,16
Drifty,14,52,14
Der Tildenmann,13,52,5
Sanandros,12,52,6
Caesar Mitis,10,52,10
Pingsjong,2,52,7
FeBey,2,52,3
Leyo,38,51,47
Katharina,30,51,46
Jkbw,28,51,49
Geof,26,51,16
St.Krekeler,26,51,25
GDK,26,51,39
212.65.1.102,22,51,0
24karamea,21,51,20
Gabbahead.,17,51,45
Torsten Bätge,14,51,34
BrThomas,13,51,12
Subversiv-action,10,51,17
Jwollbold,7,51,16
Anne Winsch,6,51,6
Rafl,6,51,8
JuTa,41,50,43
Hadibe,39,50,50
Sansculotte,34,50,35
Ixitixel,32,50,27
77.56.53.183,31,50,0
FritzG,30,50,35
Itu,28,50,8
Kresspahl,28,50,49
Siehe-auch-Löscher,27,50,2
Hubon,26,50,21
Hasselklausi,22,50,21
Tickle me,20,50,19
Florian Blaschke,16,50,35
AKor4711,16,50,24
Snevern,14,50,20
Catansiedler,12,50,21
GLGerman,11,50,25
Iiigel,10,50,4
Lars Hennings,8,50,8
X~dewiki,8,50,18
Stuttgart1950,7,50,50
Eresthor,6,50,10
JagielloXXwieku,3,50,15
Koroesu,2,50,7
Aristhot,1,50,17
TaxonBot,46,49,46
Webverbesserer,34,49,30
Färber,32,49,37
Magnummandel,31,49,40
Tilla,31,49,9
Jürgen Oetting,29,49,23
Hofres,28,49,27
PolskiNiemiec,20,49,1
Hungchaka,20,49,42
Friedjof,19,49,0
El Duende,16,49,6
Sefo,15,49,23
Dingo,14,49,1
Nobody perfect,9,49,24
Gretznik,5,49,8
Plinganser,3,49,2
Earlofoxford,2,49,4
Orange cake,2,49,9
Crux,31,48,19
Pixelfire,21,48,11
WikiFreibeuter,17,48,36
Calvin Ballantine,16,48,17
Asdfj,13,48,20
Gary Dee,13,48,32
Noebse,11,48,3
Zitronenpresse,9,48,13
Chigliak,7,48,44
KuK,6,48,9
Trinitrix,6,48,5
MichaelSchoenitzer,2,48,13
Lómelinde,39,47,44
Graphikus,38,47,34
Aktionsbot,37,47,47
Wnme,34,47,45
NEXT903125,31,47,4
Cepheiden,30,47,44
Eppelheim,27,47,0
Tolanor,24,47,42
BuschBohne,24,47,39
Elian,23,47,37
Thomas Schulte im Walde,21,47,32
Alter Fuxx,15,47,7
Gerd Wiechmann,12,47,0
HAH,11,47,9
NL,9,47,10
Qwqchris,9,47,0
Havaube,7,47,21
Robertius,2,47,9
Lukas19,1,47,0
Ticketautomat,33,46,28
MarkusHagenlocher,31,46,46
AlexanderRahm,30,46,37
Tobias Nüssel,29,46,28
Frze,25,46,41
Markus Mueller,24,46,29
Andibrunt,24,46,13
HerrAdams,23,46,12
DavidG,18,46,16
Emdee,15,46,27
HuckTwain,15,46,10
ManfredFX,10,46,1
137.226.140.45,9,46,0
Hartmut Banske,8,46,1
Reinhard Wenig,6,46,12
imported>Gottoupload,1,46,0
Malik Shabazz,1,46,0
Rdb,39,45,42
BWBot,35,45,44
WIKImaniac,35,45,34
MyContribution,35,45,37
Björn Bornhöft,35,45,45
Williwilli,34,45,45
Mac CH,32,45,44
